Class,Student,Subject,Category,Material
9,A,Math,Basic Notes,materials/9_Math_Basic_Notes.pdf
9,A,Math,Revision Guide,materials/9_Math_Revision_Guide.pdf
9,A,Math,Practice Worksheets,materials/9_Math_Practice.pdf
9,A,Math,Advanced Material,materials/9_Math_Advanced.pdf
9,A,Math,Video Tutorial,materials/9_Math_Video.mp4

9,B,English,Basic Notes,materials/9_English_Basic_Notes.pdf
9,B,English,Revision Guide,materials/9_English_Revision_Guide.pdf
9,B,English,Practice Worksheets,materials/9_English_Practice.pdf
9,B,English,Advanced Material,materials/9_English_Advanced.pdf
9,B,English,Video Tutorial,materials/9_English_Video.mp4

9,C,Chemistry,Basic Notes,materials/9_Chemistry_Basic_Notes.pdf
9,C,Chemistry,Revision Guide,materials/9_Chemistry_Revision_Guide.pdf
9,C,Chemistry,Practice Worksheets,materials/9_Chemistry_Practice.pdf
9,C,Chemistry,Advanced Material,materials/9_Chemistry_Advanced.pdf
9,C,Chemistry,Video Tutorial,materials/9_Chemistry_Video.mp4

9,D,Physics,Basic Notes,materials/9_Physics_Basic_Notes.pdf
9,D,Physics,Revision Guide,materials/9_Physics_Revision_Guide.pdf
9,D,Physics,Practice Worksheets,materials/9_Physics_Practice.pdf
9,D,Physics,Advanced Material,materials/9_Physics_Advanced.pdf
9,D,Physics,Video Tutorial,materials/9_Physics_Video.mp4

9,E,Biology,Basic Notes,materials/9_Biology_Basic_Notes.pdf
9,E,Biology,Revision Guide,materials/9_Biology_Revision_Guide.pdf
9,E,Biology,Practice Worksheets,materials/9_Biology_Practice.pdf
9,E,Biology,Advanced Material,materials/9_Biology_Advanced.pdf
9,E,Biology,Video Tutorial,materials/9_Biology_Video.mp4

10,A,Math,Basic Notes,materials/10_Math_Basic_Notes.pdf
10,A,Math,Revision Guide,materials/10_Math_Revision_Guide.pdf
10,A,Math,Practice Worksheets,materials/10_Math_Practice.pdf
10,A,Math,Advanced Material,materials/10_Math_Advanced.pdf
10,A,Math,Video Tutorial,materials/10_Math_Video.mp4

10,B,English,Basic Notes,materials/10_English_Basic_Notes.pdf
10,B,English,Revision Guide,materials/10_English_Revision_Guide.pdf
10,B,English,Practice Worksheets,materials/10_English_Practice.pdf
10,B,English,Advanced Material,materials/10_English_Advanced.pdf
10,B,English,Video Tutorial,materials/10_English_Video.mp4

10,C,Chemistry,Basic Notes,materials/10_Chemistry_Basic_Notes.pdf
10,C,Chemistry,Revision Guide,materials/10_Chemistry_Revision_Guide.pdf
10,C,Chemistry,Practice Worksheets,materials/10_Chemistry_Practice.pdf
10,C,Chemistry,Advanced Material,materials/10_Chemistry_Advanced.pdf
10,C,Chemistry,Video Tutorial,materials/10_Chemistry_Video.mp4

10,D,Physics,Basic Notes,materials/10_Physics_Basic_Notes.pdf
10,D,Physics,Revision Guide,materials/10_Physics_Revision_Guide.pdf
10,D,Physics,Practice Worksheets,materials/10_Physics_Practice.pdf
10,D,Physics,Advanced Material,materials/10_Physics_Advanced.pdf
10,D,Physics,Video Tutorial,materials/10_Physics_Video.mp4

10,E,Biology,Basic Notes,materials/10_Biology_Basic_Notes.pdf
10,E,Biology,Revision Guide,materials/10_Biology_Revision_Guide.pdf
